Sub-Category,% Sales Proft Ratio,% Sales Proft Ratio L,Profit Ratio,Category,City,Country,Customer Name,Discount,Manufacturer,Number of Records,Order Date,Order ID,Postal Code,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State
Paper,0.34,34,0.34,Office Supplies,Houston,United States,Darren Powers,0.2,Message Book,1,01-04-2011,CA-2011-103800,77095,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",6,2,Central,16,Consumer,01-08-2011,Standard Class,Texas
Binders,-1.55,-155,-1.55,Office Supplies,Naperville,United States,Phillina Ober,0.8,GBC,1,01-05-2011,CA-2011-112326,60540,GBC Standard Plastic Binding Systems Combs,-5,2,Central,4,Home Office,01-09-2011,Standard Class,Illinois
Labels,0.36,36,0.36,Office Supplies,Naperville,United States,Phillina Ober,0.2,Avery,1,01-05-2011,CA-2011-112326,60540,Avery 508,4,3,Central,12,Home Office,01-09-2011,Standard Class,Illinois
Storage,-0.24,-24,-0.24,Office Supplies,Naperville,United States,Phillina Ober,0.2,SAFCO,1,01-05-2011,CA-2011-112326,60540,SAFCO Boltless Steel Shelving,-65,3,Central,273,Home Office,01-09-2011,Standard Class,Illinois
Art,0.25,25,0.25,Office Supplies,Philadelphia,United States,Mick Brown,0.2,Avery,1,01-06-2011,CA-2011-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",5,3,East,20,Consumer,1/13/2011,Standard Class,Pennsylvania
Art,0.41,41,0.41,Office Supplies,Athens,United States,Jack O'Briant,0,Dixon,1,01-07-2011,CA-2011-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",5,3,South,13,Corporate,01-08-2011,First Class,Georgia
Paper,0.48,48,0.48,Office Supplies,Los Angeles,United States,Lycoris Saunders,0,Xerox,1,01-07-2011,CA-2011-130813,90049,Xerox 225,9,3,West,19,Consumer,01-09-2011,Second Class,California
Chairs,0.29,29,0.29,Furniture,Henderson,United States,Maria Etezadi,0,Global,1,01-07-2011,CA-2011-167199,42420,Global Deluxe High-Back Manager's Chair,746,9,South,2574,Home Office,01-11-2011,Standard Class,Kentucky
Art,0.27,27,0.27,Office Supplies,Henderson,United States,Maria Etezadi,0,Rogers,1,01-07-2011,CA-2011-167199,42420,Rogers Handheld Barrel Pencil Sharpener,1,2,South,5,Home Office,01-11-2011,Standard Class,Kentucky
Binders,0.45,45,0.45,Office Supplies,Henderson,United States,Maria Etezadi,0,Ibico,1,01-07-2011,CA-2011-167199,42420,Ibico Hi-Tech Manual Binding System,274,2,South,610,Home Office,01-11-2011,Standard Class,Kentucky
Fasteners,0.01,1,0.01,Office Supplies,Henderson,United States,Maria Etezadi,0,Alliance,1,01-07-2011,CA-2011-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",0,4,South,31,Home Office,01-11-2011,Standard Class,Kentucky
Paper,0.46,46,0.46,Office Supplies,Henderson,United States,Maria Etezadi,0,Southworth,1,01-07-2011,CA-2011-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,3,1,South,7,Home Office,01-11-2011,Standard Class,Kentucky
Phones,0.29,29,0.29,Technology,Henderson,United States,Maria Etezadi,0,GE,1,01-07-2011,CA-2011-167199,42420,GE 30524EE4,114,2,South,392,Home Office,01-11-2011,Standard Class,Kentucky
Phones,0.27,27,0.27,Technology,Henderson,United States,Maria Etezadi,0,Other,1,01-07-2011,CA-2011-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,204,4,South,756,Home Office,01-11-2011,Standard Class,Kentucky
Furnishings,-0.7,-70,-0.7,Furniture,Huntsville,United States,Vivek Sundaresam,0.6,Howard Miller,1,01-08-2011,CA-2011-105417,77340,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",-54,3,Central,77,Consumer,1/13/2011,Standard Class,Texas
Binders,-1.75,-175,-1.75,Office Supplies,Huntsville,United States,Vivek Sundaresam,0.8,Acco,1,01-08-2011,CA-2011-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",-18,7,Central,10,Consumer,1/13/2011,Standard Class,Texas
Art,0.13,13,0.13,Office Supplies,Laredo,United States,Melanie Seite,0.2,Newell,1,01-10-2011,CA-2011-135405,78041,Newell 312,1,2,Central,9,Consumer,1/14/2011,Standard Class,Texas
Accessories,0.31,31,0.31,Technology,Laredo,United States,Melanie Seite,0.2,Memorex,1,01-10-2011,CA-2011-135405,78041,Memorex Micro Travel Drive 8 GB,10,3,Central,31,Consumer,1/14/2011,Standard Class,Texas
Furnishings,0.41,41,0.41,Furniture,Springfield,United States,Anthony Jacobs,0,Howard Miller,1,01-11-2011,CA-2011-149020,22153,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",21,1,South,52,Corporate,1/16/2011,Standard Class,Virginia
Labels,0.47,47,0.47,Office Supplies,Springfield,United States,Anthony Jacobs,0,Avery,1,01-11-2011,CA-2011-149020,22153,Avery 482,1,1,South,3,Corporate,1/16/2011,Standard Class,Virginia
Furnishings,0.31,31,0.31,Furniture,Dover,United States,Seth Vernon,0,DAX,1,01-12-2011,CA-2011-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",3,2,East,10,Consumer,1/15/2011,First Class,Delaware
Binders,0.48,48,0.48,Office Supplies,Bossier City,United States,Chris Selesnick,0,Other,1,1/14/2011,CA-2011-162775,71111,Staples,3,3,South,6,Corporate,1/16/2011,Second Class,Louisiana
Envelopes,0.5,50,0.5,Office Supplies,Bossier City,United States,Chris Selesnick,0,Other,1,1/14/2011,CA-2011-162775,71111,Brown Kraft Recycled Envelopes,25,3,South,51,Corporate,1/16/2011,Second Class,Louisiana
Envelopes,0.47,47,0.47,Office Supplies,Bossier City,United States,Chris Selesnick,0,Other,1,1/14/2011,CA-2011-162775,71111,Staples,5,2,South,11,Corporate,1/16/2011,Second Class,Louisiana
Storage,0.06,6,0.06,Office Supplies,Bossier City,United States,Chris Selesnick,0,Fellowes,1,1/14/2011,CA-2011-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,34,6,South,573,Corporate,1/16/2011,Second Class,Louisiana
Accessories,0.4,40,0.4,Technology,Bossier City,United States,Chris Selesnick,0,Plantronics,1,1/14/2011,CA-2011-162775,71111,Plantronics S12 Corded Telephone Headset System,259,6,South,647,Corporate,1/16/2011,Second Class,Louisiana
Chairs,0.16,16,0.16,Furniture,Mount Pleasant,United States,Natalie DeCherney,0,Global,1,1/14/2011,CA-2011-109232,29464,Global Highback Leather Tilter in Burgundy,87,6,South,546,Consumer,1/17/2011,Second Class,South Carolina
Bookcases,0.01,1,0.01,Furniture,San Francisco,United States,Brian Dahlen,0.15,O'Sullivan,1,1/14/2011,CA-2011-157147,94109,"O'Sullivan Elevations Bookcase, Cherry Finish",4,3,West,334,Consumer,1/19/2011,Standard Class,California
